System,Item,Spec,Mass_kg,USD,TRL_2030
Propulsion,Aerospike Chamber Expansion Line,4.5mm Ta4HfC5 Matrix x2 Engines,2400,2500000,7
Propulsion,Inner Engine Iridium Film Coating,Anti-corrosive atomic barrier layer,150,4500000,8
Propulsion,Inflatable Parabolic Mirror Array,1250m2 Mylar Coated x2 Units,1200,3100000,7
Propulsion,LCH4 Turbopumps High-Density Array,15.0 kg/s stable mass flow,3500,7000000,8
Structure,LCH4 Cryogenic Tank Al-Li (9m),9mD x 42.0mH Heavy Duty Shell,75000,6500000,9
Structure,ATHENA Habitat Core Module,380m3 Internal Volume for 6 Crew,10000,15000000,8
Thermal,Active ZBO Pulse Tube Cryocoolers,2.5 kW Active Helium Loop Array,1800,3800000,7
Thermal,MLI + Silica Aerogel Insulation Shield,0.001 Transmittance Factor Matrix,2200,1200000,9
EHS,ECLSS Regenerative Closed-Loop,90% Water & Oxygen Recycling Matrix,4500,12000000,7
Avionics,ODIN AI Navigation & Autonomous Core,Radiation Hardened CNEN/AEB Core,1500,2100000,8
TOTAL,VEICULO COMPLETO V4.0,STP METHANE CONFIGURATION,120250,66700000,
